Node 0 - Component 0,Node 0 - Component 1,Node 0 - Component 2,Node 0 - Component 3,Node 1 - Component 0,Node 1 - Component 1,Node 1 - Component 2,Node 1 - Component 3,Node 2 - Component 0,Node 2 - Component 1,Node 2 - Component 2,Node 2 - Component 3,Node 3 - Component 0,Node 3 - Component 1,Node 3 - Component 2,Node 3 - Component 3,Node 4 - Component 0,Node 4 - Component 1,Node 4 - Component 2,Node 4 - Component 3,Node 5 - Component 0,Node 5 - Component 1,Node 5 - Component 2,Node 5 - Component 3,Node 6 - Component 0,Node 6 - Component 1,Node 6 - Component 2,Node 6 - Component 3
-0.05648875,-0.17077771,0.07646268,0.71711797,-0.29997155,-5.996317,-0.29997155,-5.996317,0.118397236,5.053572,0.118397236,5.053572,-0.10831438,-4.332113,-0.10831438,-4.332113,0.1346359,1.8275839,0.1346359,1.8275839,-0.24554755,-7.266627,-0.24554755,-7.266627,0.35142475,6.3072577,0.35142475,6.3072577
-0.08749964,-0.8876036,0.10211845,0.38867846,-0.5074573,-2.7469025,-0.5074573,-2.7469025,0.13148697,-2.499516,0.13148697,-2.499516,-0.08428836,2.91098,-0.08428836,2.91098,0.2889454,3.354447,0.2889454,3.354447,-0.3360146,1.4014984,-0.3360146,1.4014984,0.16420454,-6.8762407,0.16420454,-6.8762407
-0.16342571,-1.805694,0.059724275,-1.0238038,-0.023093529,14.052338,-0.023093529,14.052338,-0.31717888,-8.532931,-0.31717888,-8.532931,-0.09120174,-1.7712965,-0.09120174,-1.7712965,0.40830484,1.8537517,0.40830484,1.8537517,0.03876919,7.974678,0.03876919,7.974678,0.09151501,1.8738751,0.09151501,1.8738751
-0.22099927,-0.79983157,0.011958357,-1.4707408,0.23986724,0.8835265,0.23986724,0.8835265,-0.32451993,4.6279445,-0.32451993,4.6279445,-0.4857805,-9.395797,-0.4857805,-9.395797,-0.043044753,-12.485666,-0.043044753,-12.485666,0.34571123,2.495218,0.34571123,2.495218,0.5200962,8.6861315,0.5200962,8.6861315
-0.1984119,1.0185122,0.037024245,1.3352278,0.24056806,-0.4793757,0.24056806,-0.4793757,-0.26722917,0.47496805,-0.26722917,0.47496805,-0.5392365,1.0951089,-0.5392365,1.0951089,0.12740439,8.529904,0.12740439,8.529904,0.20366473,-8.432443,0.20366473,-8.432443,0.3919654,-9.79327,0.3919654,-9.79327
-0.14213999,1.1334254,0.042777717,-0.36472812,0.009630054,-5.9236054,0.009630054,-5.9236054,-0.008139053,7.1625676,-0.008139053,7.1625676,-0.5093216,0.6147201,-0.5093216,0.6147201,0.12583214,-4.5929,0.12583214,-4.5929,0.1313368,1.5142784,0.1313368,1.5142784,-0.10989433,-7.636385,-0.10989433,-7.636385
-0.11444547,0.22442774,0.03472505,-0.040677648,-0.24071537,-4.220875,-0.24071537,-4.220875,-0.1088338,-6.4245305,-0.1088338,-6.4245305,-0.27994546,5.779466,-0.27994546,5.779466,-0.069208995,-2.142645,-0.069208995,-2.142645,0.25307918,2.1590793,0.25307918,2.1590793,0.06084919,7.4543424,0.06084919,7.4543424
-0.086861424,0.8494379,0.08098498,1.7210556,-0.32690802,0.2504058,-0.32690802,0.2504058,-0.17662995,1.3933495,-0.17662995,1.3933495,-0.09016941,2.0357852,-0.09016941,2.0357852,-0.09208162,0.7959144,-0.09208162,0.7959144,-0.11661713,-5.4792905,-0.11661713,-5.4792905,0.043926243,-3.7836957,0.043926243,-3.7836957
-0.07066659,0.2067421,0.08853121,-0.97301114,-0.075737365,5.7519703,-0.075737365,5.7519703,0.058270793,-0.24941419,0.058270793,-0.24941419,-0.23773676,-9.82507,-0.23773676,-9.82507,-0.21949746,-3.5302052,-0.21949746,-3.5302052,-0.0023772344,4.871851,-0.0023772344,4.871851,0.14865665,4.1839275,0.14865665,4.1839275
-0.0708477,-0.12664168,0.06831717,-0.17086858,0.3065032,6.9007,0.3065032,6.9007,-0.25402835,-6.9568653,-0.25402835,-6.9568653,-0.18071638,6.8858323,-0.18071638,6.8858323,-0.14332297,3.4713128,-0.14332297,3.4713128,0.016135078,-1.5280504,0.016135078,-1.5280504,-0.057854824,-6.629695,-0.057854824,-6.629695
-0.07658377,-0.2094855,0.05446907,-0.26568106,0.18825175,-6.2951245,0.18825175,-6.2951245,-0.02680916,8.867134,-0.02680916,8.867134,-0.15957102,-3.0089958,-0.15957102,-3.0089958,-0.2478743,-4.5689116,-0.2478743,-4.5689116,-0.04563692,-1.23749,-0.04563692,-1.23749,-0.002901112,4.1453786,-0.002901112,4.1453786
-0.08179168,-0.19755949,0.11214791,1.6734688,-0.10208253,-5.2602286,-0.10208253,-5.2602286,-0.075313546,-6.2784047,-0.075313546,-6.2784047,-0.31895635,-3.0162694,-0.31895635,-3.0162694,-0.007935705,7.329183,-0.007935705,7.329183,-0.51664925,-8.916437,-0.51664925,-8.916437,-0.19540924,-7.2913036,-0.19540924,-7.2913036
-0.13351224,-1.4722414,0.109848686,-1.0519118,-0.023062252,4.7121286,-0.023062252,4.7121286,-0.50871325,-7.630924,-0.50871325,-7.630924,-0.34212932,0.7775315,-0.34212932,0.7775315,0.17776982,4.1319275,0.17776982,4.1319275,-0.09518081,13.893086,-0.09518081,13.893086,-0.1127466,7.731338,-0.1127466,7.731338
-0.18852212,-0.9017474,0.16809283,2.4363205,-0.271293,-8.921015,-0.271293,-8.921015,-0.6230847,0.54615235,-0.6230847,0.54615235,-0.41278303,-2.4342723,-0.41278303,-2.4342723,0.039865,-6.826583,0.039865,-6.826583,0.020756317,-3.9891725,0.020756317,-3.9891725,-0.14181854,-4.984668,-0.14181854,-4.984668
-0.24561153,-1.0458997,0.14366946,-2.467429,-0.10948029,6.512798,-0.10948029,6.512798,-0.5479987,-3.5044148,-0.5479987,-3.5044148,-0.33255076,-0.3404209,-0.33255076,-0.3404209,-0.2454639,-4.304212,-0.2454639,-4.304212,0.28172973,7.1970754,0.28172973,7.1970754,-0.4571535,-4.981869,-0.4571535,-4.981869
-0.2330651,0.77812815,0.06729527,-1.3789934,-0.16517486,-4.0856414,-0.16517486,-4.0856414,-0.34429377,7.426595,-0.34429377,7.426595,-0.34341577,0.4927591,-0.34341577,0.4927591,-0.13540184,5.532896,-0.13540184,5.532896,0.4216259,-0.9216987,0.4216259,-0.9216987,-0.4156218,1.1395155,-0.4156218,1.1395155
-0.15988599,1.6124319,0.0749801,0.56198615,-0.21985,0.3205443,-0.21985,0.3205443,-0.24595459,-0.5980581,-0.24595459,-0.5980581,-0.010464006,9.108438,-0.010464006,9.108438,0.15545362,4.8081245,0.15545362,4.8081245,-0.029726425,-10.594999,-0.029726425,-10.594999,-0.39101067,1.9612406,-0.39101067,1.9612406
-0.092179716,1.0558193,0.12285754,0.9228601,-0.4060332,-4.8419237,-0.4060332,-4.8419237,-0.18332916,1.572274,-0.18332916,1.572274,0.17461534,0.050522942,0.17461534,0.050522942,0.10445223,-3.137967,0.10445223,-3.137967,-0.20883267,-0.035892513,-0.20883267,-0.035892513,0.23094583,15.066339,0.23094583,15.066339
-0.080732845,-0.19492538,0.07676121,-1.4495718,0.05781864,14.465827,0.05781864,14.465827,-0.44350833,-6.0368967,-0.44350833,-6.0368967,0.034725208,-3.6986227,0.034725208,-3.6986227,0.21241824,5.0540495,0.21241824,5.0540495,0.13203995,8.235514,0.13203995,8.235514,0.116126075,-9.138746,0.116126075,-9.138746
-0.06726368,0.48216143,0.07790056,0.7908442,0.12600231,-5.3758636,0.12600231,-5.3758636,-0.16543548,9.627861,-0.16543548,9.627861,-0.18169834,-3.7723072,-0.18169834,-3.7723072,0.34211525,-0.13933274,0.34211525,-0.13933274,0.07003582,-5.5807176,0.07003582,-5.5807176,-0.42465603,-8.769897,-0.42465603,-8.769897
-0.06606409,-0.38727197,0.17669088,2.1536834,0.20953742,5.164106,0.20953742,5.164106,-0.24931642,-6.29021,-0.24931642,-6.29021,-0.29390198,-1.1029458,-0.29390198,-1.1029458,0.13041343,-5.50838,0.13041343,-5.50838,-0.34661657,-7.5336165,-0.34661657,-7.5336165,-0.41718093,0.34823772,-0.41718093,0.34823772
-0.11456844,-0.9783482,0.17167051,-1.5365019,0.37273854,3.520423,0.37273854,3.520423,-0.20987965,0.9748086,-0.20987965,0.9748086,-0.46931237,-6.9249654,-0.46931237,-6.9249654,-0.14841755,-3.318202,-0.14841755,-3.318202,-0.0021283983,10.735004,-0.0021283983,10.735004,-0.25113103,3.5703502,-0.25113103,3.5703502
-0.12800136,0.66285473,0.17147939,1.9622632,0.45569924,0.11505434,0.45569924,0.11505434,-0.24024783,-1.5794147,-0.24024783,-1.5794147,-0.50246066,1.233376,-0.50246066,1.233376,-0.123608306,-0.14145103,-0.123608306,-0.14145103,-0.15249403,-3.316888,-0.15249403,-3.316888,0.3039888,5.623668,0.3039888,5.623668
-0.10210259,0.42503053,0.22106321,0.3719886,0.49461007,0.80854535,0.49461007,0.80854535,-0.33831447,-1.3094106,-0.33831447,-1.3094106,-0.19947106,7.9606366,-0.19947106,7.9606366,-0.08470744,0.9011596,-0.08470744,0.9011596,-0.20948112,0.15098667,-0.20948112,0.15098667,0.057719942,-8.326771,0.057719942,-8.326771
-0.065596014,0.8643132,0.15549627,-1.9402766,0.32400143,-5.0990257,0.32400143,-5.0990257,-0.13550462,6.902345,-0.13550462,6.902345,0.18685868,7.529864,0.18685868,7.529864,-0.226252,-3.8742092,-0.226252,-3.8742092,0.034235287,5.008114,0.034235287,5.008114,-0.11539229,-0.31750232,-0.11539229,-0.31750232
-0.025657743,0.5994726,0.07360388,-1.3348659,0.07699064,-3.6031637,0.07699064,-3.6031637,0.38788047,9.768324,0.38788047,9.768324,0.19952776,-3.448988,0.19952776,-3.448988,-0.28637263,-0.13464873,-0.28637263,-0.13464873,-0.007644755,-3.4057724,-0.007644755,-3.4057724,-0.37402394,-5.988629,-0.37402394,-5.988629
-0.010138355,-0.014425766,0.0020413147,-1.8385413,0.09084743,2.0693505,0.09084743,2.0693505,0.43497226,-3.4768555,0.43497226,-3.4768555,0.11725098,-0.3895693,0.11725098,-0.3895693,0.07422686,9.828605,0.07422686,9.828605,-0.14581479,-0.39773378,-0.14581479,-0.39773378,-0.3922256,1.81088,-0.3922256,1.81088
-0.022255937,-0.44474214,-0.06258717,-0.80880815,-0.08051075,-6.32263,-0.08051075,-6.32263,0.32756028,-1.7092199,0.32756028,-1.7092199,0.0771088,-1.100186,0.0771088,-1.100186,0.36939722,2.4517605,0.36939722,2.4517605,-0.24523912,-1.6075139,-0.24523912,-1.6075139,-0.24697746,2.5721655,-0.24697746,2.5721655
