Node 0 - Component 0,Node 0 - Component 1,Node 1 - Component 0,Node 1 - Component 1
0.0,0.0,-3.0701976,-0.65504616
0.0,0.0,-3.113939,-0.8748287
0.0,0.0,3.1118839,-1.1472471
0.0,0.0,3.0431948,-1.3737824
0.0,0.0,2.9698317,-1.4672651
0.0,0.0,2.8908782,-1.5790684
0.0,0.0,2.8141797,-1.5339725
0.0,0.0,2.7365253,-1.5530869
0.0,0.0,2.660617,-1.5181633
0.0,0.0,2.6127462,-0.95741445
0.0,0.0,2.5736594,-0.78173906
0.0,0.0,2.5565338,-0.34251145
0.0,0.0,2.5683212,0.2357482
0.0,0.0,2.5991404,0.61638147
0.0,0.0,2.6389194,0.7955812
0.0,0.0,2.6877527,0.9766663
0.0,0.0,2.7510161,1.2652718
0.0,0.0,2.8294039,1.5677534
0.0,0.0,2.9147925,1.7077743
0.0,0.0,3.0170581,2.0453076
0.0,0.0,3.131512,2.2890801
0.0,0.0,-3.024025,2.5529678
0.0,0.0,-2.9149065,2.1823664
0.0,0.0,-2.8023455,2.251219
0.0,0.0,-2.7054868,1.9371774
0.0,0.0,-2.6131172,1.8473911
0.0,0.0,-2.5339322,1.583699
0.0,0.0,-2.4615374,1.447897
0.0,0.0,-2.4049454,1.1318395
0.0,0.0,-2.37761,0.54671013
0.0,0.0,-2.3761852,0.028495915
0.0,0.0,-2.40445,-0.5652938
0.0,0.0,-2.4619737,-1.1504781
0.0,0.0,-2.550239,-1.7653079
0.0,0.0,-2.659531,-2.1858397
0.0,0.0,-2.7807562,-2.4245007
0.0,0.0,-2.9219005,-2.8228893
0.0,0.0,-3.070486,-2.9717083
0.0,0.0,3.049971,-3.2545652
0.0,0.0,2.880469,-3.3900378
0.0,0.0,2.7070527,-3.4683294
0.0,0.0,2.5635455,-2.8701456
0.0,0.0,2.4256434,-2.7580373
0.0,0.0,2.3027115,-2.458639
0.0,0.0,2.2110617,-1.8329971
0.0,0.0,2.1369257,-1.4827224
0.0,0.0,2.1058958,-0.6205969
0.0,0.0,2.1137128,0.15633863
0.0,0.0,2.167629,1.0783268
0.0,0.0,2.2527914,1.703248
0.0,0.0,2.3610778,2.1657279
0.0,0.0,2.497236,2.7231622
0.0,0.0,2.6688442,3.4321666
0.0,0.0,2.8581505,3.7861247
0.0,0.0,3.0509603,3.8561954
0.0,0.0,-3.0246992,4.150516
0.0,0.0,-2.8253894,3.9861968
0.0,0.0,-2.652699,3.4538066
0.0,0.0,-2.5051901,2.9501805
0.0,0.0,-2.3854206,2.395391
0.0,0.0,-2.280618,2.0960512
0.0,0.0,-2.2055032,1.5022944
0.0,0.0,-2.1622477,0.86511266
0.0,0.0,-2.1550388,0.14417474
0.0,0.0,-2.1676896,-0.25301597
0.0,0.0,-2.1980054,-0.60631424
0.0,0.0,-2.243927,-0.9184315
0.0,0.0,-2.3228664,-1.5787921
0.0,0.0,-2.4152071,-1.8468107
0.0,0.0,-2.5236976,-2.169812
0.0,0.0,-2.648642,-2.498889
0.0,0.0,-2.798986,-3.0068755
0.0,0.0,-2.970434,-3.428959
0.0,0.0,3.1248977,-3.7570734
0.0,0.0,2.950353,-3.4908988
0.0,0.0,2.776758,-3.4718957
0.0,0.0,2.615136,-3.232443
0.0,0.0,2.4721751,-2.8592136
0.0,0.0,2.3608296,-2.2269137
0.0,0.0,2.286204,-1.4925064
0.0,0.0,2.229057,-1.1429435
0.0,0.0,2.1993816,-0.5935078
0.0,0.0,2.210324,0.21885024
0.0,0.0,2.260897,1.0114535
0.0,0.0,2.3284612,1.3512882
0.0,0.0,2.4129589,1.6899502
0.0,0.0,2.5165517,2.0718577
0.0,0.0,2.6293478,2.2559211
0.0,0.0,2.7582638,2.5783203
0.0,0.0,2.8894336,2.6233983
0.0,0.0,3.0320063,2.8514504
0.0,0.0,-3.1121087,2.78141
0.0,0.0,-2.9712505,2.8171601
0.0,0.0,-2.848224,2.4605358
0.0,0.0,-2.7217648,2.5291822
0.0,0.0,-2.5976138,2.4830165
0.0,0.0,-2.496117,2.029936
0.0,0.0,-2.4249141,1.4240595
0.0,0.0,-2.3858323,0.7816355
0.0,0.0,-2.372968,0.25729004
0.0,0.0,-2.3999715,-0.54007477
0.0,0.0,-2.4481149,-0.9628648
0.0,0.0,-2.5229795,-1.4972948
0.0,0.0,-2.6232686,-2.0057802
0.0,0.0,-2.732855,-2.19173
0.0,0.0,-2.851075,-2.364397
0.0,0.0,-2.9664066,-2.306633
0.0,0.0,-3.092716,-2.5261898
0.0,0.0,3.0742538,-2.324307
0.0,0.0,2.9686608,-2.1118608
0.0,0.0,2.8652432,-2.0683525
0.0,0.0,2.7757072,-1.7907193
0.0,0.0,2.693245,-1.6492451
0.0,0.0,2.6382701,-1.0994973
0.0,0.0,2.5897558,-0.9702869
0.0,0.0,2.552274,-0.74963707
0.0,0.0,2.5261254,-0.52297103
0.0,0.0,2.5187178,-0.14815034
0.0,0.0,2.5405438,0.4365188
0.0,0.0,2.5843835,0.87679416
0.0,0.0,2.6476843,1.2660146
0.0,0.0,2.713779,1.3218952
0.0,0.0,2.7931938,1.5882982
0.0,0.0,2.8723178,1.5824753
0.0,0.0,2.9526653,1.6069517
0.0,0.0,3.0530274,2.0072422
0.0,0.0,-3.135017,1.9028183
0.0,0.0,-3.0293725,2.1128893
0.0,0.0,-2.9188406,2.2106366
0.0,0.0,-2.8268187,1.8404386
0.0,0.0,-2.7432356,1.6716647
0.0,0.0,-2.6857288,1.1501334
0.0,0.0,-2.6378944,0.9566877
0.0,0.0,-2.6040363,0.6771643
0.0,0.0,-2.5800214,0.48029855
0.0,0.0,-2.5765944,0.06854165
0.0,0.0,-2.5807993,-0.084101334
0.0,0.0,-2.6184685,-0.7533856
0.0,0.0,-2.6810858,-1.252344
0.0,0.0,-2.7539165,-1.4566141
0.0,0.0,-2.8433805,-1.7892771
0.0,0.0,-2.9536736,-2.2058651
0.0,0.0,-3.082756,-2.58165
0.0,0.0,3.0786617,-2.4353485
0.0,0.0,2.958447,-2.4042957
0.0,0.0,2.8565304,-2.0383327
0.0,0.0,2.772158,-1.6874464
0.0,0.0,2.6986182,-1.4707943
0.0,0.0,2.6373575,-1.2252163
0.0,0.0,2.5946834,-0.8534798
0.0,0.0,2.583183,-0.23000655
