Node 0 - Component 0,Node 0 - Component 1,Node 1 - Component 0,Node 1 - Component 1,Node 2 - Component 0,Node 2 - Component 1,Node 3 - Component 0,Node 3 - Component 1
-0.01041041,-0.5003542,-0.008900525,0.46209523,-0.041965373,-1.3683016,0.09392964,1.7538747
0.02157515,-1.1219305,-0.08581049,1.1073352,0.0398553,-2.4238474,0.07381468,2.3008096
0.042638622,-0.057902925,-0.14508632,-0.015658315,0.11481791,-0.60894156,0.06078491,1.4900379
0.026878309,0.65372187,-0.14303432,-0.7556282,0.1578116,0.6824211,0.07098531,0.6804467
-0.024731563,1.6388825,-0.078731716,-1.7739216,0.16321462,2.4581578,0.15164338,-0.38262397
-0.071212605,0.58615166,-0.013267448,-0.60873896,0.14803083,0.8947198,0.13047856,-0.38983417
-0.08734217,0.16433473,0.005632968,-0.20417129,0.14887768,0.06077595,0.09055615,0.42598087
-0.11202774,0.97355664,0.039732665,-1.0090731,0.13979223,1.6108859,0.18665686,-0.8638613
-0.1551353,1.0265765,0.10199182,-1.1389651,0.122453175,1.4956348,0.20855865,-0.011096748
-0.17818803,-0.15124044,0.11115737,-0.044817068,0.17937183,-0.95603794,0.024259306,2.736884
-0.18078417,-0.16929123,0.06936888,-0.08817356,0.3015333,-1.1067456,-0.039162707,3.3082383
-0.18314436,-0.2314691,0.023368983,-0.033101864,0.4338954,-1.1860385,-0.10700244,3.3043964
-0.1920555,0.088695,-0.014115366,-0.4054411,0.5669899,-0.6896513,-0.11751563,3.3279152
-0.18843178,-0.78230107,-0.07027308,0.55967003,0.7042406,-2.0779362,-0.33993027,3.5258675
-0.15854892,-1.1173145,-0.16804717,0.90576756,0.8583329,-2.746207,-0.520564,4.099119
-0.102395594,-1.9664298,-0.3119098,1.81113,1.0406861,-4.280543,-0.8085916,4.874452
-0.060840193,-0.5274574,-0.42241132,0.3773171,1.1802278,-1.472566,-0.37035897,2.3504612
-0.044781778,-0.565283,-0.48380145,0.42118344,1.2776886,-1.5871843,-0.433939,2.508299
-0.037334472,-0.14925444,-0.53526413,-0.04208521,1.3820162,-0.9901847,-0.4673193,2.688723
-0.05403211,0.56015944,-0.5469093,-0.7740298,1.4679583,0.37109587,-0.24733059,1.65788
-0.08203262,0.42905048,-0.53717136,-0.62998956,1.5378268,0.12292536,-0.29926568,1.8273777
-0.091626145,-0.23748122,-0.5527598,0.136894,1.602767,-0.89041275,-0.34649563,1.4407965
-0.08690694,-0.18069333,-0.58467627,0.10110018,1.6514422,-0.71184725,-0.2706521,1.0050178
-0.099175714,0.55240184,-0.5875569,-0.70167994,1.687198,0.5507178,-0.112094484,0.7848141
-0.11729135,0.09763693,-0.5836239,-0.21334054,1.7320919,-0.33828276,-0.313695,1.4426415
-0.1439648,0.94111294,-0.5612589,-1.0922707,1.7562908,1.3995818,0.15291095,-0.15060772
-0.20118994,1.5437037,-0.48179215,-1.7416689,1.7409017,2.5363069,0.4266295,-0.62005526
-0.24557863,0.43035868,-0.42246643,-0.51861,1.7361503,0.48455548,-0.009824753,0.38321555
-0.2467079,-0.35858482,-0.43199193,0.39017737,1.7494999,-0.79210067,-0.16654252,0.026531503
-0.25087935,0.49437463,-0.43307114,-0.5729671,1.7475371,0.68266493,0.090733446,-0.054248746
-0.27898216,0.7161287,-0.39789644,-0.8255904,1.7460717,1.0671735,0.16317253,-0.019108353
-0.29045206,-0.212944,-0.3876575,0.2351041,1.7460858,-0.52792805,-0.1256342,0.0050174305
-0.28505847,-0.028753001,-0.40106124,0.036655515,1.7397543,-0.1454081,-0.0075878715,-0.31722668
-0.26464838,-0.83991086,-0.43516505,0.96162856,1.7274828,-1.5238822,-0.24704668,-0.30220178
-0.22247924,-1.0017602,-0.5015833,1.1379505,1.7161262,-1.783133,-0.2676633,-0.27050075
-0.18269825,-0.7695459,-0.56563944,0.86210126,1.711072,-1.437485,-0.23395365,0.015279209
-0.14306915,-0.98651546,-0.62993014,1.1085795,1.7084013,-1.7598382,-0.23304233,-0.15006165
-0.083980225,-1.5958558,-0.7198472,1.8011688,1.693815,-2.6646328,-0.22589368,-0.5819212
-0.009392364,-1.7081184,-0.83313423,1.9128798,1.6815469,-2.9777014,-0.26725158,-0.053310342
0.055133138,-1.2168258,-0.93660873,1.3489627,1.6855646,-2.2502794,-0.21684192,0.25941107
0.095555395,-0.651278,-1.0093654,0.69742423,1.7042965,-1.4255066,-0.23405692,0.68242407
0.11369519,-0.23483658,-1.0560247,0.21616027,1.7446969,-0.91430223,-0.33993736,1.3269728
0.10983004,0.33212596,-1.061214,-0.4332014,1.7544267,0.50446576,0.014437616,-0.20874122
0.090542436,0.42526332,-1.033087,-0.53099203,1.7303412,0.9027146,0.19601183,-0.98603845
0.052772027,1.1429085,-0.96730316,-1.3412639,1.6760039,2.367243,0.45694476,-1.7317393
-0.0062576705,1.3931253,-0.86671245,-1.6002976,1.6169876,2.6500897,0.45319986,-1.2395443
-0.061632555,1.0555595,-0.770087,-1.1870395,1.55873,2.2026656,0.52166003,-1.6625437
-0.089928955,0.2217166,-0.714511,-0.24328238,1.5088234,0.5963817,0.22278836,-0.83259827
-0.096828125,0.091295615,-0.69747704,-0.10163977,1.4848919,0.25497028,0.11373243,-0.3664575
-0.11985391,0.93205106,-0.65354997,-1.0377978,1.4495623,1.9259715,0.4763607,-1.4021188
-0.17719409,1.6206052,-0.5501696,-1.8009381,1.3826488,3.2057557,0.7633054,-1.9549444
-0.23208626,0.87007236,-0.45371988,-0.9709835,1.328684,1.6531004,0.396921,-0.73763794
-0.2935475,1.8420286,-0.34728885,-2.052793,1.2732656,3.6004763,0.92946035,-2.0420923
-0.37793577,1.9552863,-0.19349945,-2.1619122,1.1704546,4.081176,1.1805305,-3.0940654
-0.45697573,1.6091039,-0.045871273,-1.8091048,1.063628,3.326755,0.98120844,-2.250297
-0.5315055,1.6766207,0.09274048,-1.9057808,0.9654357,3.5852952,1.0993996,-2.6513567
-0.59477293,1.1622987,0.21678372,-1.299594,0.8638079,2.6790566,0.83965,-2.4395263
-0.6393146,0.81305337,0.30517,-0.9489928,0.79278845,1.7746137,0.5518122,-1.1308632
-0.7030999,1.7962966,0.4278218,-2.1285408,0.69640946,4.180857,1.3158925,-3.6027355
-0.76821184,1.1016662,0.5682445,-1.1937277,0.5526235,2.9416885,0.84539646,-3.6083431
-0.79888254,0.50151527,0.65805024,-0.38531217,0.4245217,1.6232729,0.35468304,-2.840151
-0.81026393,0.31997675,0.71116596,-0.19756345,0.3303101,1.0620948,0.18454209,-1.9105157
-0.82097447,0.32820067,0.74804103,-0.34376845,0.2804938,0.7973188,0.19485642,-0.6102882
-0.8515207,0.8760964,0.80516714,-1.1524369,0.24644907,2.007347,0.6088227,-1.0667936
-0.9035504,0.9822479,0.8890426,-1.4340378,0.2147264,2.165588,0.7542869,-0.5166128
-0.9454245,0.35698792,0.9396028,-0.6903546,0.23819114,0.42870077,0.3288188,1.6121864
-0.9614023,0.11149559,0.95103,-0.12251794,0.27536866,0.14505836,0.061801717,0.30003276
-0.9583181,-0.14518164,0.9439346,0.27579084,0.29449087,-0.4977053,-0.16331992,0.6538038
-0.9577617,0.30413535,0.95265704,-0.23954147,0.27762663,0.91591185,0.17577282,-1.4733491
-0.9693822,0.2882986,0.9845301,-0.3461521,0.23966244,0.6881953,0.19926074,-0.44246778
-0.9726828,-0.03566001,0.9958078,0.17701405,0.22934508,-0.11737393,-0.090230934,-0.0768837
-0.9669637,0.019972602,0.9947185,0.10954304,0.22093989,0.061843686,-0.049072593,-0.34220746
-0.9681053,0.0715532,0.9943067,-0.16444072,0.23522049,-0.07889643,0.0653649,1.0353634
-0.9897914,0.6666416,1.0293881,-0.8960014,0.22335522,1.7872318,0.5173884,-1.5843042
-1.0362366,1.0558422,1.1309347,-1.3631274,0.11433204,3.1658227,0.770327,-3.7258122
-1.0782312,0.75062793,1.2428143,-0.7576022,-0.035812892,2.45657,0.3596388,-3.778489
-1.0966921,0.38445768,1.3158522,-0.19714512,-0.15751345,1.2714745,0.023436887,-2.416916
-1.1079708,0.4648724,1.3711917,-0.36372977,-0.25401306,1.4897804,0.08169832,-2.404794
-1.1317527,0.74800456,1.4519519,-0.7947934,-0.3744445,2.4750638,0.2107578,-3.5133898
-1.1685044,0.707372,1.543819,-1.0480407,-0.4792986,2.1602132,0.4497173,-1.8352023
-1.2081321,0.6428831,1.6276244,-0.9364407,-0.5526469,2.0333462,0.38116792,-1.8306476
-1.2440951,0.6064592,1.7082787,-0.8618408,-0.62813926,1.9968626,0.31883967,-1.9361489
-1.2587281,0.07149926,1.7601671,0.5302535,-0.69530207,0.0031216468,-0.42718413,-1.1593964
-1.2346927,-0.035440605,1.7489746,0.58628315,-0.7226285,-0.43159887,-0.3598359,-0.27830377
-1.19994,-0.21176124,1.7241302,1.1339953,-0.7504072,-0.8035797,-0.7749306,-1.086912
-1.1678063,-0.052509077,1.7015561,0.49285737,-0.778501,-0.33543894,-0.31817463,-0.34023577
-1.1426145,-0.16548038,1.6830419,0.7603287,-0.79696566,-0.58657485,-0.49702895,-0.5773047
-1.1264122,0.062091578,1.6706675,0.06138404,-0.8042071,-0.039676744,-0.010802864,0.20659688
-1.1237149,0.12641063,1.6766433,0.07451993,-0.81578135,0.3343623,-0.14626887,-0.7772793
-1.1094383,-0.13011211,1.6751243,0.63133764,-0.8448478,-0.4027378,-0.43800953,-0.6760631
-1.0924584,-0.02750193,1.6614492,0.22387448,-0.8525381,-0.2835393,-0.08874832,0.28250694
-1.087041,0.16639431,1.6679245,0.049915206,-0.8750429,0.59514254,-0.22528523,-1.3827337
-1.0772493,0.0019576857,1.6838369,0.43615216,-0.93478066,0.20111525,-0.47294164,-1.5948147
-1.0562172,-0.16882549,1.6780208,0.6116392,-0.9751361,-0.4783922,-0.3977882,-0.45295644
-1.0390034,-0.0034545574,1.6683013,0.25528774,-0.9943468,-0.012828448,-0.22151557,-0.50877476
-1.0366372,0.25953427,1.687196,-0.13215227,-1.0385084,0.94021946,-0.21053515,-1.6654319
-1.0465119,0.42522854,1.7387779,-0.34895837,-1.1246434,1.6060303,-0.27540138,-2.5856376
-1.0284873,-0.1906107,1.7527171,0.77947295,-1.2028755,-0.2534836,-0.67662716,-1.4902072
-0.9902913,-0.41955066,1.7299081,1.118788,-1.2540107,-0.8746656,-0.7613358,-1.0745512
-0.9487228,-0.42425296,1.6929387,0.965886,-1.2834386,-0.97488654,-0.5513023,-0.41314974
-0.9244626,-0.09019916,1.6677296,0.26355496,-1.288507,-0.29708835,-0.11826238,0.14985622
-0.9180625,0.08885718,1.6704869,0.058481142,-1.306231,0.42874974,-0.24412544,-1.0235058
-0.91105443,-0.05066568,1.6805329,0.2899054,-1.3444787,0.0765593,-0.328029,-0.891614
-0.894821,-0.1579041,1.6815912,0.5178426,-1.3905414,-0.024632225,-0.53055555,-1.3949708
-0.8743034,-0.21802089,1.6723275,0.50940746,-1.4243802,-0.43348053,-0.31415346,-0.32034737
-0.84796727,-0.3960197,1.6487437,0.80039424,-1.4423064,-0.7414869,-0.4768964,-0.56921643
-0.8082315,-0.7158665,1.6014138,1.1740513,-1.4477473,-1.6131952,-0.43628594,0.29329795
-0.75326425,-1.0229834,1.5285211,1.5590892,-1.4460686,-2.0229337,-0.6399317,-0.1911314
-0.69214743,-1.1319119,1.4407262,1.5070308,-1.4347843,-2.3715887,-0.39389125,0.7417835
-0.6301197,-1.3275146,1.3369967,1.5988528,-1.3906502,-2.8170028,-0.24705437,1.4627733
-0.5812166,-0.8833401,1.2391087,0.8789841,-1.3172848,-2.1082852,0.11404686,2.1836534
-0.53429365,-1.3272867,1.1422856,1.4486585,-1.2407799,-2.71567,-0.12470654,1.6652826
-0.48590618,-0.9390244,1.0527256,0.97964203,-1.1910818,-1.7720417,-0.12403667,0.81626135
-0.44047543,-1.1700774,0.9774391,1.2806146,-1.1707687,-1.9839308,-0.26721615,0.20997114
-0.38080177,-1.5677404,0.88406676,1.691006,-1.156888,-2.6725495,-0.26767632,0.4920913
