Node 0 - Component 0,Node 0 - Component 1,Node 0 - Component 2,Node 0 - Component 3,Node 0 - Component 4,Node 0 - Component 5,Node 1 - Component 0,Node 1 - Component 1,Node 1 - Component 2,Node 1 - Component 3,Node 1 - Component 4,Node 1 - Component 5,Node 2 - Component 0,Node 2 - Component 1,Node 2 - Component 2,Node 2 - Component 3,Node 2 - Component 4,Node 2 - Component 5,Node 3 - Component 0,Node 3 - Component 1,Node 3 - Component 2,Node 3 - Component 3,Node 3 - Component 4,Node 3 - Component 5,Node 4 - Component 0,Node 4 - Component 1,Node 4 - Component 2,Node 4 - Component 3,Node 4 - Component 4,Node 4 - Component 5,Node 5 - Component 0,Node 5 - Component 1,Node 5 - Component 2,Node 5 - Component 3,Node 5 - Component 4,Node 5 - Component 5,Node 6 - Component 0,Node 6 - Component 1,Node 6 - Component 2,Node 6 - Component 3,Node 6 - Component 4,Node 6 - Component 5,Node 7 - Component 0,Node 7 - Component 1,Node 7 - Component 2,Node 7 - Component 3,Node 7 - Component 4,Node 7 - Component 5,Node 8 - Component 0,Node 8 - Component 1,Node 8 - Component 2,Node 8 - Component 3,Node 8 - Component 4,Node 8 - Component 5
-0.009831115,0.061351977,0.026638776,5.897322,3.5535033,-3.122814,-0.027707864,-0.069906265,-0.07550541,-5.877093,-7.6654005,-6.781037,-0.06006911,0.0,0.0,3.1579661,0.0,0.0,0.02707948,0.06817982,-0.04939338,5.536388,-5.7709594,-0.42640007,0.0012905542,0.0,0.0,1.3463371,0.0,0.0,0.008885171,-0.029820755,0.0,-2.0180697,1.9021932,0.0,0.015790988,0.0,0.0,-1.7313738,0.0,0.0,-0.008547104,0.011056458,0.0,1.3821554,2.0193632,0.0,0.021710748,0.0,0.0,0.0,0.0,0.0
-0.028574523,0.092150636,0.0750495,-0.75727266,3.2122214,-2.058752,-0.06410007,-0.14801423,-0.19910729,-5.120621,-8.908567,-16.255028,-0.23961133,0.0,0.0,2.803676,0.0,0.0,0.069495246,0.12408576,-0.10725882,3.120384,-2.5805368,-0.523972,-0.006178761,0.0,0.0,-2.2414346,0.0,0.0,-0.0008305806,-0.035040405,0.0,1.0574538,2.6100457,0.0,0.050226852,0.0,0.0,-0.37741736,0.0,0.0,-0.022601316,0.003160081,0.0,-1.9373255,0.7110032,0.0,0.041024566,0.0,0.0,0.0,0.0,0.0
-0.0039074305,0.13810742,0.13031112,4.428137,2.6356761,-1.9049404,-0.1033683,-0.16536543,-0.38802168,0.82003117,-13.592987,-17.40659,-0.50312674,0.0,0.0,1.2295783,0.0,0.0,0.10993828,0.15952744,-0.2816464,2.0692685,-17.174204,-23.3121,-0.20956147,0.0,0.0,-2.0569003,0.0,0.0,-0.025767244,-0.004600024,0.0,3.0562072,-1.0593127,0.0,0.05921886,0.0,0.0,0.7583846,0.0,0.0,-0.019210331,-0.010900961,0.0,-1.0220923,0.4684968,0.0,0.05324124,0.0,0.0,0.0,0.0,0.0
0.004369403,0.08278938,0.1303783,-7.216573,-0.98910296,0.8294052,-0.105786934,-0.13092475,-0.39831161,2.678742,7.0696564,1.169388,-0.6003858,0.0,0.0,-0.21907721,0.0,0.0,0.11519841,0.11364444,-0.34097484,-5.338535,3.8587906,-4.503041,-0.3922485,0.0,0.0,-3.521735,0.0,0.0,-0.074707344,0.041258413,0.0,2.5204275,-2.491813,0.0,0.031975783,0.0,0.0,-1.9284704,0.0,0.0,-0.026789853,-0.065680504,0.0,-4.8127184,-3.9589386,0.0,0.021179529,0.0,0.0,0.0,0.0,0.0
0.023516854,1.0243594e-05,0.1250982,-4.1278796,0.17275915,1.0473686,-0.09003813,-0.16710383,-0.29232544,-4.476579,6.92253,6.385054,-0.5417808,0.0,0.0,-0.5978266,0.0,0.0,0.105374664,0.13271494,-0.28527448,4.104432,4.0053496,-0.9433603,-0.43321598,0.0,0.0,0.7569608,0.0,0.0,-0.09379322,0.09029412,0.0,3.7422442,-1.3099347,0.0,0.0021578462,0.0,0.0,-0.7101745,0.0,0.0,-0.04643861,-0.094815575,0.0,0.30201373,1.2374606,0.0,0.004608983,0.0,0.0,0.0,0.0,0.0
0.03152632,-0.08079884,0.12627947,-6.326239,-0.18938507,0.14322732,-0.081034064,-0.26035962,-0.18315464,-6.9548044,7.5912657,0.75201964,-0.48897064,0.0,0.0,-0.30199733,0.0,0.0,0.09885025,0.21359779,-0.2488266,5.637725,1.2981901,-13.354081,-0.5482352,0.0,0.0,-3.5673444,0.0,0.0,-0.11856074,0.12053549,0.0,0.77797073,0.35777548,0.0,-0.0014453431,0.0,0.0,-0.5526996,0.0,0.0,-0.057251666,-0.12920438,0.0,-4.1458707,-0.1727424,0.0,0.009244967,0.0,0.0,0.0,0.0,0.0
0.010498207,-0.12321369,0.09731172,-1.4630207,-3.2356172,4.7740374,-0.03648095,-0.2703229,-0.15403704,1.8612963,-1.0963036,-4.6642013,-0.5278745,0.0,0.0,-3.696834,0.0,0.0,0.063449115,0.20821758,-0.29843262,-2.814397,-5.6743937,-20.43387,-0.8133158,0.0,0.0,-2.239452,0.0,0.0,-0.1578962,0.14512974,0.0,2.637016,2.1531875,0.0,0.017904686,0.0,0.0,1.5795825,0.0,0.0,-0.051337324,-0.15672545,0.0,-0.44072708,3.1747139,0.0,0.03581973,0.0,0.0,0.0,0.0,0.0
-0.054724067,-0.23144533,0.10323137,-9.077411,2.5712075,-1.6253624,-0.028701462,-0.20418146,-0.042077933,5.3785625,12.361011,6.4097977,-0.50604343,0.0,0.0,2.1837697,0.0,0.0,0.06664811,0.1435225,-0.2089288,-4.822263,12.725105,0.45165452,-0.9397767,0.0,0.0,-2.4167035,0.0,0.0,-0.19689944,0.18147074,0.0,1.8329258,2.1499498,0.0,0.04961165,0.0,0.0,2.0850809,0.0,0.0,-0.016510887,-0.18380477,0.0,-1.7734596,0.3352372,0.0,0.057480395,0.0,0.0,0.0,0.0,0.0
-0.11114938,-0.22443564,0.12695616,5.803406,1.2016894,1.2036173,-0.023946483,-0.16136722,0.0068599894,1.6444911,-2.0079744,0.40498364,-0.46668643,0.0,0.0,-0.05219318,0.0,0.0,0.076339364,0.117814794,-0.14770286,-0.022207078,-0.54538745,1.4706059,-0.9360945,0.0,0.0,1.5433553,0.0,0.0,-0.19367148,0.15527126,0.0,-4.1612024,4.7259192,0.0,0.10443743,0.0,0.0,-3.5179124,0.0,0.0,-0.03816876,-0.18214962,0.0,0.7163286,0.36664286,0.0,0.06445435,0.0,0.0,0.0,0.0,0.0
-0.1279914,-0.13243504,0.15662864,5.7209105,0.8108513,1.8803114,-0.01635121,-0.1506072,0.00780363,1.1298327,0.039231773,7.8209424,-0.3631414,0.0,0.0,-1.4675579,0.0,0.0,0.079332344,0.11681276,-0.19269805,-0.7749927,-4.8946824,-3.7457416,-0.95574665,0.0,0.0,2.6118913,0.0,0.0,-0.16061404,0.09204627,0.0,-4.3000536,3.1139028,0.0,0.16230054,0.0,0.0,-4.575125,0.0,0.0,-0.09344565,-0.18191834,0.0,-0.53668946,1.2373633,0.0,0.07696454,0.0,0.0,0.0,0.0,0.0
-0.15155822,-0.13097958,0.13108325,-2.9399507,-3.1879632,4.8745456,0.040619783,-0.09107685,0.061483797,5.072949,5.8687897,3.8519595,-0.2850667,0.0,0.0,-2.2362742,0.0,0.0,0.045534838,0.1542608,-0.16823465,5.1400476,5.991923,3.1694167,-0.95484704,0.0,0.0,1.8382843,0.0,0.0,-0.13443722,0.025910495,0.0,-4.976755,4.3616056,0.0,0.21906944,0.0,0.0,-6.856704,0.0,0.0,-0.17946607,-0.19372793,0.0,-0.28649682,1.413531,0.0,0.09535176,0.0,0.0,0.0,0.0,0.0
-0.16728993,-0.19754735,0.07342535,-5.0127115,-3.7880003,2.317462,0.094627626,-0.15555252,0.16753915,-9.307683,7.6452246,2.3361897,-0.23924217,0.0,0.0,-3.496377,0.0,0.0,-0.00034050687,0.20273225,-0.04125032,1.3203404,10.403522,10.274331,-0.8545631,0.0,0.0,2.1182404,0.0,0.0,-0.10640383,-0.044319995,0.0,-4.6717653,4.5942273,0.0,0.28574556,0.0,0.0,-4.9905524,0.0,0.0,-0.26840168,-0.19380225,0.0,0.2559377,2.9142835,0.0,0.12866564,0.0,0.0,0.0,0.0,0.0
-0.14495261,-0.1978459,0.04643284,2.358816,-0.009626723,0.23229726,0.11070174,-0.2995914,0.15716098,-8.530289,-6.0916452,-8.547732,-0.29978377,0.0,0.0,-2.1430285,0.0,0.0,-0.041912645,0.2614015,0.020883605,5.4751673,0.4700477,9.520531,-0.7115596,0.0,0.0,4.5907855,0.0,0.0,-0.046937395,-0.12586446,0.0,-5.655336,5.7831335,0.0,0.36411095,0.0,0.0,-2.6032767,0.0,0.0,-0.3266855,-0.1570198,0.0,3.4775872,5.2063675,0.0,0.19338194,0.0,0.0,0.0,0.0,0.0
-0.064726874,-0.12724671,0.059834063,5.237285,1.7746136,-0.22279112,0.11018359,-0.4290506,-0.00610023,-7.2877293,-13.547769,-14.074282,-0.47930613,0.0,0.0,-1.702802,0.0,0.0,-0.073800534,0.35055685,-0.08874932,5.5113425,-12.641881,-7.6264772,-0.7073089,0.0,0.0,3.542886,0.0,0.0,0.019772306,-0.20508756,0.0,-4.5648007,6.4801955,0.0,0.45559412,0.0,0.0,-2.2715354,0.0,0.0,-0.3639326,-0.097716555,0.0,3.5962672,5.6356874,0.0,0.27702978,0.0,0.0,0.0,0.0,0.0
